Offer: 3 , Requests: 150 ; 
Offer: 3 , Requests: 108 ; 
Offer: 3 , Requests: 2484 ; 
Offer: 4 , Requests: 361 ; 
Offer: 6 , Requests: 171 ; 
Offer: 6 , Requests: 396 ; 
Offer: 6 , Requests: 51 ; 
Offer: 6 , Requests: 1167 ; 
Offer: 9 , Requests: 1017 ; 
Offer: 9 , Requests: 69 ; 
Offer: 12 , Requests: 168 ; 
Offer: 12 , Requests: 315 ; 
Offer: 12 , Requests: 1173 ; 
Offer: 14 , Requests: 176 ; 
Offer: 15 , Requests: 144 ; 
Offer: 15 , Requests: 1260 ; 
Offer: 15 , Requests: 291 ; 
Offer: 15 , Requests: 183 ; 
Offer: 18 , Requests: 7788 ; 
Offer: 18 , Requests: 1293 ; 
Offer: 18 , Requests: 8055 ; 
Offer: 18 , Requests: 2178 ; 
Offer: 19 , Requests: 2101 ; 
Offer: 21 , Requests: 7200 ; 
Offer: 24 , Requests: 1026 ; 
Offer: 24 , Requests: 7791 ; 
Offer: 24 , Requests: 2628 ; 
Offer: 27 , Requests: 2256 ; 
Offer: 27 , Requests: 8052 ; 
Offer: 27 , Requests: 3441 ; 
Offer: 27 , Requests: 2763 ; 
Offer: 27 , Requests: 2502 ; 
Offer: 30 , Requests: 9279 ; 
Offer: 30 , Requests: 2457 ; 
Offer: 30 , Requests: 2202 ; 
Offer: 33 , Requests: 459 ; 
Offer: 34 , Requests: 10 ; 
Offer: 36 , Requests: 1233 ; 
Offer: 36 , Requests: 300 ; 
Offer: 36 , Requests: 2367 ; 
Offer: 37 , Requests: 7891 ; 
Offer: 39 , Requests: 2340 ; 
Offer: 39 , Requests: 4377 ; 
Offer: 39 , Requests: 2364 ; 
Offer: 39 , Requests: 2124 ; 
Offer: 40 , Requests: 535 ; 
Offer: 42 , Requests: 420 ; 
Offer: 42 , Requests: 951 ; 
Offer: 42 , Requests: 1086 ; 
Offer: 43 , Requests: 451 ; 
Offer: 45 , Requests: 7998 ; 
Offer: 45 , Requests: 2358 ; 
Offer: 45 , Requests: 135 ; 
Offer: 46 , Requests: 2149 ; 
Offer: 48 , Requests: 1038 ; 
Offer: 48 , Requests: 1917 ; 
Offer: 48 , Requests: 1089 ; 
